FIPS,f15m_ndays_pctlocal,PctPopUrban,HMI,MedAge,PctWNL,PctMBSA
1001,0.928,0.58,53682,37,77.2,0.317
1003,0.603,0.577,50221,41.1,83.5,0.329
1005,0.58,0.322,32911,39,46.8,0.263
1007,0.921,0.316,36447,37.8,75,0.213
1009,0.343,0.1,44145,39,88.9,0.268
1011,0,0.486,32033,38.5,21.9,0.19
1013,0,0.288,29918,40.1,54.1,0.281
1015,0.666,0.663,39962,38.2,73.6,0.267
1017,0.407,0.509,32402,41.5,58.1,0.255
1019,0.321,0.143,34907,43.9,92.1,0.282
1021,0.194,0.133,41250,37.6,81.1,0.261
1023,0,0,33941,43.4,55.6,0.309
1025,0.513,0.24,29357,40.2,54,0.239
1027,0.739,0,34002,42,80.3,0.265
1029,0.922,0,38019,40.6,93.2,0.262
1031,0.751,0.528,43768,37.6,72.3,0.315
1033,0.116,0.561,39077,41.8,79.6,0.279
1035,0,0.191,24658,43,51.1,0.207
1037,0.948,0,37277,44.2,65.9,0.209
1039,0.045,0.303,35869,42.4,84.1,0.245
1041,0,0,36275,40.7,72.1,0.291
1043,0.867,0.268,38847,39.9,92.7,0.282
1045,0.08,0.491,44889,36.1,71.1,0.264
1047,0.373,0.544,26519,37.7,28.9,0.251
1049,0.684,0.099,37851,37.5,81.6,0.237
1051,0.891,0.458,54766,37.8,75,0.336
1053,0.151,0.365,30687,39.2,61.3,0.247
1055,0.775,0.625,38013,40.2,79.3,0.272
1057,0,0.198,33838,42.5,86,0.237
1059,0.241,0.296,36415,37.8,79.6,0.203
1061,0.925,0.104,35625,42,84.7,0.235
1063,0,0,24226,41.8,17.3,0.185
1065,0.029,0.108,30051,40,39.4,0.251
1067,0.085,0.122,41650,42.8,67.8,0.324
1069,0.858,0.662,40948,38.5,68.7,0.297
1071,0.535,0.23,37634,41.4,90.1,0.255
1073,0.901,0.902,45429,37.1,51.7,0.377
1075,0,0,36028,43.5,86.1,0.27
1077,0.612,0.507,42844,40.4,85.5,0.291
1079,0.199,0.087,38551,40.6,76.9,0.234
1081,0.787,0.726,43542,29.5,69.8,0.376
1083,0.514,0.424,48619,38.4,78.7,0.334
1085,0,0,26230,40.6,25.1,0.238
1087,0.164,0.445,30724,36.3,15.2,0.25
1089,0.761,0.836,58434,37.3,66.1,0.445
1091,0.32,0.307,35079,40.4,45.7,0.272
1093,0,0.111,32888,42.8,92.6,0.257
1095,0.611,0.467,39526,38.2,83.9,0.273
1097,0.847,0.8,43028,36.6,59.1,0.31
1099,0,0.21,29203,40.1,54.7,0.236
1101,0.719,0.895,44790,34.9,38.4,0.357
1103,0.925,0.614,44800,39,77.5,0.291
1105,0,0,28209,37.2,29.7,0.227
1107,0,0,28741,41.9,55.8,0.215
1109,0.283,0.483,33090,31.4,57.4,0.275
1111,0.148,0.187,35213,41.2,75.4,0.253
1113,0.494,0.646,36143,35.8,52.1,0.263
1115,0.582,0.272,50786,38.6,87.3,0.301
1117,0.77,0.771,68770,36.9,80.2,0.426
1119,0.226,0,22186,37.7,24,0.268
1121,0.358,0.442,35439,39.3,64.5,0.263
1123,0.995,0.258,39130,42.4,69.3,0.303
1125,0.574,0.745,45408,31.2,65,0.343
1127,0.909,0.259,37566,41.2,90.4,0.253
1129,0.308,0,42156,39.7,65.2,0.214
1131,0,0,23642,38.8,26.6,0.24
1133,0.288,0.151,32900,43.1,94.9,0.238
4001,0.321,0.259,31476,32.4,20.4,0.291
4003,0.429,0.637,45755,39.7,58.5,0.356
4005,0.448,0.685,49555,31,55.2,0.325
4007,0.582,0.589,39954,47.9,65.9,0.294
4009,0.179,0.536,44943,31.6,52.3,0.293
4011,0.039,0.534,47992,34.8,48.1,0.274
4012,0.298,0.437,35776,53.9,62.7,0.259
4013,0.86,0.976,53596,34.6,58.7,0.366
4015,0.407,0.77,39200,47.6,79.6,0.251
4017,0.256,0.459,36927,34.7,43.9,0.302
4019,0.602,0.925,45841,37.7,55.3,0.362
4021,0.6,0.781,50027,35.3,58.7,0.31
4023,0.49,0.731,37745,35.6,16,0.271
4025,0.598,0.668,42987,49.2,82,0.307
4027,0.348,0.896,41595,33.8,35.3,0.253
5001,0,0.653,39633,40.7,71,0.285
5003,0,0.483,35683,40.3,68.2,0.252
5005,0.598,0.342,35343,50.6,96,0.302
5007,0.671,0.748,54515,34.3,76.6,0.345
5009,0.014,0.378,38506,41.4,95.2,0.277
5011,0.545,0.504,30409,40.3,58,0.214
5013,0.583,0,30980,43.4,73.4,0.212
5015,0.274,0.272,36584,44,84,0.252
5017,0.306,0.457,26201,41.8,40.3,0.318
5019,0.089,0.456,32721,33.5,70.4,0.339
5021,0,0.411,31502,43.2,96.9,0.237
5023,0.947,0.245,40246,46.8,95.9,0.239
5025,0.469,0,39420,40.2,85.1,0.312
5027,0.996,0.425,35128,37,59.2,0.313
5029,0.798,0.295,35225,40.5,82.4,0.243
5031,0.307,0.678,41393,33.2,79.6,0.337
5033,0.873,0.48,39479,37.6,86.8,0.268
5035,0.671,0.791,37751,34.2,45.2,0.29
5037,0.556,0.432,38085,39.7,74.7,0.236
5039,0.833,0.474,28931,42.7,54.1,0.183
5041,0.51,0.686,28680,38.7,46.8,0.284
5043,0.983,0.514,31171,36.9,68,0.362
5045,0.77,0.612,50314,31.5,82.4,0.351
5047,0.994,0.174,36766,39.8,93.8,0.235
5049,0,0.071,35522,47,96.4,0.27
5051,0.168,0.631,39162,44.4,84,0.318
5053,0.484,0.25,49004,39.5,94.1,0.296
5055,0.955,0.585,38413,37.9,95.4,0.279
5057,0.915,0.442,32056,37.7,56.5,0.244
5059,0.476,0.34,41193,40.1,84.1,0.278
5061,0.038,0.325,35879,38.4,67.4,0.222
5063,1,0.314,35026,39,89.8,0.263
5065,0.949,0,30661,47.3,95,0.293
