FIPS,STATE,COUNTY,ALL,NONE,NDAY,PLUR,GEOMED,LOCFIELD,NPG,NPL,NGL,PGL,NP,GL,PG,NG,NL,PL,N_TOTAL,P_TOTAL,G_TOTAL,L_TOTAL
1001,Alabama,Autauga,0,48,622,3,0,0,36,0,0,0,0,0,0,0,0,0,0.928,0.055,0.051,0.000
1003,Alabama,Baldwin,0,260,889,330,0,0,108,0,0,0,37,0,91,0,0,0,0.603,0.330,0.116,0.000
1005,Alabama,Barbour,0,53,61,2,0,0,0,0,0,0,15,0,0,0,0,0,0.580,0.130,0.000,0.000
1007,Alabama,Bibb,0,9,88,0,0,0,0,0,0,0,17,0,0,0,0,0,0.921,0.149,0.000,0.000
1009,Alabama,Blount,0,196,51,3,0,0,0,0,0,0,53,0,0,0,0,0,0.343,0.185,0.000,0.000
1011,Alabama,Bullock,0,33,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0.000,0.468,0.452,0.000
1013,Alabama,Butler,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
1015,Alabama,Calhoun,70,344,265,1,0,0,341,0,0,0,93,0,39,0,0,1,0.666,0.472,0.390,0.062
1017,Alabama,Chambers,0,13,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0.407,0.111,0.000,0.000
1019,Alabama,Cherokee,0,88,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0.008,0.000,0.000
1021,Alabama,Chilton,0,161,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0.194,0.005,0.000,0.000
1023,Alabama,Choctaw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
1025,Alabama,Clarke,0,17,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0.513,0.051,0.000,0.000
1027,Alabama,Clay,0,35,52,1,0,0,0,0,0,0,50,0,0,0,0,0,0.739,0.370,0.000,0.000
1029,Alabama,Cleburne,0,131,1777,0,20,0,0,0,0,0,0,0,0,0,0,0,0.922,0.000,0.010,0.000
