FIPS,STATE,COUNTY,ALL,NONE,NDAY,PLUR,GEOMED,LOCFIELD,NPG,NPL,NGL,PGL,NP,GL,PG,NG,NL,PL,N_TOTAL,P_TOTAL,G_TOTAL,L_TOTAL
1001,Alabama,Autauga County,0,48,42,0,0,0,235,0,0,0,34,0,0,0,0,0,0.866,0.749,0.655,0.000
1003,Alabama,Baldwin County,0,442,251,6,0,0,1523,0,0,0,77,0,0,43,0,0,0.809,0.686,0.669,0.000
1005,Alabama,Barbour County,0,34,18,0,0,0,15,0,0,0,0,0,0,0,0,0,0.493,0.224,0.224,0.000
1007,Alabama,Bibb County,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.000,0.000,0.000
1009,Alabama,Blount County,0,29,34,4,0,0,48,0,0,0,0,0,0,0,0,0,0.713,0.452,0.417,0.000
1011,Alabama,Bullock County,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
1013,Alabama,Butler County,0,44,4,0,0,0,179,0,0,0,0,0,0,0,0,0,0.806,0.789,0.789,0.000
1015,Alabama,Calhoun County,0,121,632,4,0,0,975,0,0,0,0,0,0,0,0,0,0.928,0.565,0.563,0.000
1017,Alabama,Chambers County,0,63,41,0,0,0,64,0,0,0,5,0,0,0,0,0,0.636,0.399,0.370,0.000
1019,Alabama,Cherokee County,0,19,41,0,0,0,75,0,0,0,0,0,0,0,0,0,0.859,0.556,0.556,0.000
1021,Alabama,Chilton County,0,67,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446,0.000,0.000,0.000
1023,Alabama,Choctaw County,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
1025,Alabama,Clarke County,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667,0.000,0.000,0.000
1027,Alabama,Clay County,0,4,3,0,0,0,49,0,0,0,0,0,0,0,0,0,0.929,0.875,0.875,0.000
1029,Alabama,Cleburne County,0,93,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415,0.000,0.000,0.000
1031,Alabama,Coffee County,0,42,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0.250,0.050,0.000,0.000
1033,Alabama,Colbert County,0,50,59,1,0,0,139,0,0,0,0,0,0,0,0,0,0.795,0.562,0.558,0.000
1035,Alabama,Conecuh County,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.000,0.000,0.000
1037,Alabama,Coosa County,0,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0.538,0.154,0.000,0.000
1039,Alabama,Covington County,0,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152,0.000,0.000,0.000
1041,Alabama,Crenshaw County,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
1043,Alabama,Cullman County,0,50,158,1,0,0,146,0,0,0,18,0,3,0,0,0,0.856,0.447,0.396,0.000
1045,Alabama,Dale County,0,32,43,3,0,0,0,0,0,0,4,0,0,0,0,0,0.573,0.085,0.000,0.000
1047,Alabama,Dallas County,0,8,0,4,0,0,15,0,0,0,0,0,0,0,0,0,0.556,0.704,0.556,0.000
1049,Alabama,DeKalb County,0,58,44,0,0,0,405,0,0,0,234,0,0,0,0,0,0.922,0.862,0.547,0.000
1051,Alabama,Elmore County,0,72,144,1,0,0,38,0,0,0,0,0,7,21,0,0,0.717,0.163,0.233,0.000
1053,Alabama,Escambia County,0,34,10,0,0,0,35,0,0,0,0,0,0,0,0,0,0.570,0.443,0.443,0.000
1055,Alabama,Etowah County,0,68,141,1,0,0,1011,0,0,0,0,0,0,0,0,0,0.943,0.829,0.828,0.000
1057,Alabama,Fayette County,0,4,10,0,0,0,0,0,0,0,99,0,0,0,0,0,0.965,0.876,0.000,0.000
1059,Alabama,Franklin County,0,7,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.894,0.000,0.000,0.000
1061,Alabama,Geneva County,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588,0.000,0.000,0.000
1063,Alabama,Greene County,0,29,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663,0.000,0.000,0.000
1065,Alabama,Hale County,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688,0.000,0.000,0.000
1067,Alabama,Henry County,0,12,11,0,0,0,0,0,0,0,24,0,0,0,0,0,0.745,0.511,0.000,0.000
1069,Alabama,Houston County,0,111,64,0,0,0,850,0,0,0,109,0,0,0,0,0,0.902,0.846,0.750,0.000
1071,Alabama,Jackson County,0,41,133,1,0,0,243,0,0,0,57,0,0,0,0,0,0.912,0.634,0.512,0.000
1073,Alabama,Jefferson County,0,1082,2197,62,0,0,13018,0,0,0,1010,0,26,258,0,0,0.934,0.800,0.754,0.000
1075,Alabama,Lamar County,0,1,35,0,0,0,0,0,0,0,0,0,6,0,0,0,0.833,0.143,0.143,0.000
1077,Alabama,Lauderdale County,0,43,169,4,0,0,160,0,0,0,10,0,0,0,0,0,0.878,0.451,0.415,0.000
1079,Alabama,Lawrence County,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.154,0.000,0.000
1081,Alabama,Lee County,0,353,638,11,0,0,1280,0,0,0,118,0,23,0,0,0,0.840,0.591,0.538,0.000
1083,Alabama,Limestone County,0,103,223,0,0,0,191,0,0,0,7,0,0,3,0,0,0.805,0.376,0.368,0.000
