FIPS,STATE,COUNTY,ALL,NONE,NDAY,PLUR,GEOMED,LOCFIELD,NPG,NPL,NGL,PGL,NP,GL,PG,NG,NL,PL,BOTS,N_TOTAL,P_TOTAL,G_TOTAL,L_TOTAL
1001,Alabama,Autauga,34,92,137,98,0,1,361,13,0,5,48,0,25,0,0,19,121,0.712,0.724,0.510,0.086
1003,Alabama,Baldwin,174,941,873,637,46,11,812,26,0,8,103,0,401,44,0,63,508,0.491,0.537,0.359,0.068
1005,Alabama,Barbour,38,40,78,18,0,0,72,0,0,0,4,0,7,0,0,1,47,0.744,0.543,0.453,0.151
1007,Alabama,Bibb,0,23,9,21,0,1,348,3,0,0,4,0,0,0,0,0,19,0.890,0.919,0.851,0.010
1009,Alabama,Blount,116,58,44,48,0,3,244,10,0,6,37,0,155,0,0,7,55,0.620,0.856,0.716,0.195
1011,Alabama,Bullock,0,19,2,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0.083,0.125,0.000,0.000
1013,Alabama,Butler,0,74,52,30,0,0,5,4,0,0,2,0,23,0,0,1,52,0.330,0.340,0.147,0.026
1015,Alabama,Calhoun,59,112,522,173,1,6,586,32,0,10,98,0,51,0,3,38,408,0.769,0.619,0.418,0.088
1017,Alabama,Chambers,1,83,43,43,0,4,110,0,0,0,12,0,33,0,41,10,58,0.545,0.550,0.379,0.147
1019,Alabama,Cherokee,7,57,28,35,1,0,77,4,0,0,2,0,18,0,0,3,3697,0.509,0.629,0.444,0.060
1021,Alabama,Chilton,93,66,127,56,0,0,69,8,0,0,26,0,3,0,0,5,128,0.713,0.574,0.364,0.234
1023,Alabama,Choctaw,0,16,0,7,0,0,122,0,0,0,2,0,42,0,0,0,747,0.656,0.915,0.868,0.000
1025,Alabama,Clarke,0,14,72,20,0,0,70,3,0,0,2,0,4,0,0,3,69,0.782,0.543,0.394,0.032
1027,Alabama,Clay,29,21,7,7,0,2,44,0,0,0,8,0,5,0,2,1,8,0.714,0.746,0.619,0.270
1029,Alabama,Cleburne,0,61,13,29,0,0,62,0,0,13,0,0,4,0,0,0,4,0.412,0.593,0.434,0.071
1031,Alabama,Coffee,10,75,113,32,0,1,88,2,0,11,37,0,49,0,0,18,102,0.573,0.567,0.362,0.096
1033,Alabama,Colbert,261,79,111,103,1,6,571,21,0,0,47,0,13,0,0,19,311,0.821,0.840,0.687,0.249
1035,Alabama,Conecuh,0,72,36,7,0,0,0,2,0,0,2,0,8,0,0,0,24,0.315,0.150,0.063,0.016
1037,Alabama,Coosa,0,15,2,7,2,0,4,0,0,0,0,0,0,0,0,0,1,0.200,0.367,0.200,0.000
1039,Alabama,Covington,79,50,76,32,0,1,389,0,0,11,14,0,43,0,0,2,87,0.801,0.818,0.749,0.133
1041,Alabama,Crenshaw,4,28,0,16,0,3,48,0,0,0,5,0,29,0,0,4,4,0.416,0.774,0.591,0.080
1043,Alabama,Cullman,120,134,93,114,0,4,139,22,0,6,80,0,30,0,0,32,116,0.587,0.702,0.381,0.238
1045,Alabama,Dale,0,60,80,42,0,4,121,4,0,0,21,0,14,0,0,2,75,0.649,0.586,0.388,0.029
1047,Alabama,Dallas,0,57,165,40,0,1,526,2,0,0,8,0,14,0,0,4,177,0.858,0.727,0.661,0.009
1049,Alabama,DeKalb,90,116,100,97,0,1,249,10,0,0,44,0,34,3,0,20,85,0.649,0.712,0.492,0.158
1051,Alabama,Elmore,142,120,135,135,4,4,401,9,3,0,90,0,45,20,4,15,245,0.713,0.743,0.546,0.157
1053,Alabama,Escambia,57,66,104,30,0,0,541,0,0,9,8,0,15,0,8,0,101,0.857,0.788,0.742,0.088
1055,Alabama,Etowah,102,115,300,95,2,3,522,46,0,8,57,1,126,0,5,29,718,0.731,0.698,0.539,0.137
1057,Alabama,Fayette,0,17,17,14,0,0,15,0,0,0,10,0,18,0,0,5,35,0.438,0.646,0.344,0.052
1059,Alabama,Franklin,69,36,11,25,0,0,9,2,0,0,10,0,0,0,0,6,18,0.601,0.720,0.464,0.458
1061,Alabama,Geneva,0,17,4,18,0,0,12,0,0,0,5,0,0,0,0,5,10,0.344,0.656,0.197,0.082
1063,Alabama,Greene,0,24,3,10,0,0,0,0,0,0,14,0,0,0,0,0,12,0.333,0.471,0.000,0.000
1065,Alabama,Hale,0,18,11,6,8,0,310,0,0,0,5,0,15,0,0,0,8,0.874,0.901,0.893,0.000
1067,Alabama,Henry,0,37,9,16,0,0,47,5,0,0,7,0,0,0,0,4,7,0.544,0.632,0.376,0.072
1069,Alabama,Houston,264,128,551,106,0,1,639,40,0,9,67,0,33,5,6,22,551,0.840,0.631,0.508,0.183
1071,Alabama,Jackson,0,44,64,65,0,0,409,4,0,0,30,0,13,0,8,18,160,0.786,0.823,0.644,0.046
1073,Alabama,Jefferson,3506,1437,2489,1421,2,55,7531,1273,5,115,724,0,1458,10,110,496,7046,0.758,0.801,0.612,0.269
1075,Alabama,Lamar,0,13,26,6,0,2,25,0,0,0,6,0,68,0,0,0,30,0.390,0.719,0.637,0.014
1077,Alabama,Lauderdale,501,144,139,186,4,4,656,55,0,12,133,0,132,0,10,49,236,0.738,0.851,0.644,0.312
1079,Alabama,Lawrence,65,32,37,60,1,0,125,0,3,0,29,0,6,0,0,8,31,0.708,0.801,0.546,0.208
1081,Alabama,Lee,613,403,597,585,0,34,1194,113,0,21,184,0,99,0,27,114,432,0.685,0.734,0.484,0.231
1083,Alabama,Limestone,35,189,302,167,1,3,717,15,0,14,63,0,96,0,0,12,753,0.701,0.693,0.535,0.049
1085,Alabama,Lowndes,0,59,4,17,1,0,43,0,0,0,3,0,16,0,0,0,49,0.350,0.552,0.420,0.000
1087,Alabama,Macon,0,79,96,35,0,0,21,0,0,0,0,0,4,0,0,1,109,0.496,0.258,0.106,0.004
1089,Alabama,Madison,1566,431,824,660,0,15,4074,151,0,63,338,0,465,4,60,200,2868,0.793,0.849,0.697,0.232
1091,Alabama,Marengo,47,11,119,17,0,0,6,10,0,0,0,0,48,0,0,4,60,0.695,0.504,0.385,0.233
