FIPS,STATE,COUNTY,ALL,NONE,NDAY,PLUR,BOTS,N_TOTAL,P_TOTAL
1001,Alabama,Autauga,9239,566,893,970,237,0.868,0.875
1003,Alabama,Baldwin,18463,2312,1989,3348,1525,0.783,0.835
1005,Alabama,Barbour,2124,212,185,468,61,0.772,0.867
1007,Alabama,Bibb,1863,142,104,158,25,0.868,0.891
1009,Alabama,Blount,3540,309,219,591,76,0.807,0.887
1011,Alabama,Bullock,258,83,7,57,15,0.654,0.778
1013,Alabama,Butler,1607,305,148,186,101,0.781,0.798
1015,Alabama,Calhoun,19060,741,1299,2697,564,0.856,0.914
1017,Alabama,Chambers,5532,332,557,792,64,0.844,0.877
1019,Alabama,Cherokee,1259,189,184,171,5059,0.800,0.793
1021,Alabama,Chilton,4988,393,415,332,238,0.882,0.868
1023,Alabama,Choctaw,1460,128,5,144,1482,0.843,0.923
1025,Alabama,Clarke,548,137,167,103,80,0.749,0.682
1027,Alabama,Clay,1652,75,59,271,8,0.832,0.935
1029,Alabama,Cleburne,826,373,71,178,9,0.619,0.693
1031,Alabama,Coffee,2233,274,386,433,122,0.787,0.802
1033,Alabama,Colbert,9889,609,953,1130,792,0.862,0.876
1035,Alabama,Conecuh,99,272,104,56,26,0.382,0.292
1037,Alabama,Coosa,675,96,214,291,3,0.697,0.757
1039,Alabama,Covington,4674,196,217,288,116,0.910,0.923
1041,Alabama,Crenshaw,1977,122,83,143,13,0.886,0.912
1043,Alabama,Cullman,5016,985,455,557,139,0.780,0.795
1045,Alabama,Dale,2113,276,343,779,1321,0.700,0.824
1047,Alabama,Dallas,4960,303,398,461,305,0.875,0.885
1049,Alabama,DeKalb,8275,395,518,659,150,0.893,0.907
1051,Alabama,Elmore,10568,680,1773,1195,387,0.868,0.827
1053,Alabama,Escambia,3630,347,382,332,104,0.855,0.845
1055,Alabama,Etowah,9628,717,965,1561,1964,0.823,0.869
1057,Alabama,Fayette,442,73,84,65,40,0.792,0.764
1059,Alabama,Franklin,1177,123,67,171,21,0.809,0.876
1061,Alabama,Geneva,672,132,66,178,18,0.704,0.811
1063,Alabama,Greene,242,194,9,29,32,0.530,0.572
1065,Alabama,Hale,2349,163,296,192,9,0.882,0.847
1067,Alabama,Henry,1048,158,41,71,18,0.826,0.849
1069,Alabama,Houston,8010,695,1017,1058,1459,0.837,0.841
1071,Alabama,Jackson,6123,347,398,446,976,0.892,0.898
1073,Alabama,Jefferson,86569,6980,7827,12830,13449,0.827,0.870
1075,Alabama,Lamar,826,70,36,62,34,0.867,0.893
1077,Alabama,Lauderdale,18638,685,1158,1223,281,0.912,0.915
1079,Alabama,Lawrence,4347,278,185,247,53,0.896,0.908
1081,Alabama,Lee,36559,3101,2209,4964,997,0.828,0.887
1083,Alabama,Limestone,10514,1151,1378,1738,1838,0.805,0.829
1085,Alabama,Lowndes,1306,323,154,86,67,0.781,0.745
1087,Alabama,Macon,4801,634,462,558,182,0.815,0.830
1089,Alabama,Madison,57864,2680,3068,6895,5872,0.864,0.918
1091,Alabama,Marengo,1399,153,459,173,94,0.851,0.720
1093,Alabama,Marion,1533,295,98,221,33,0.760,0.817
1095,Alabama,Marshall,8882,498,639,1591,253,0.820,0.902
1097,Alabama,Mobile,72458,2439,2932,9118,3478,0.867,0.938
1099,Alabama,Monroe,532,154,123,94,58,0.725,0.693
1101,Alabama,Montgomery,68496,2980,3500,7278,3287,0.875,0.921
1103,Alabama,Morgan,17210,1024,1411,1992,402,0.861,0.887
1105,Alabama,Perry,543,93,36,128,0,0.724,0.839
1107,Alabama,Pickens,1168,139,71,392,14,0.700,0.881
