FIPS,STATE,COUNTY,RANK_UNFILTERED,RANK_NDAY_LOCAL,RANK_PLURALITY_LOCAL,RANK_NDAY_NONLOCAL,RANK_PLURALITY_NONLOCAL
8097,Colorado,Pitkin,1,2,2,3,11
53057,Washington,Skagit,2,1,1,503,293
41007,Oregon,Clatsop,3,25,11,2,1
12131,Florida,Walton,4,47,6,1,2
8037,Colorado,Eagle,5,3,16,32,6
6041,California,Marin,6,12,12,4,26
37101,North Carolina,Johnston,7,4,3,428,994
41017,Oregon,Deschutes,8,5,25,41,4
35049,New Mexico,Santa Fe,9,9,32,38,13
37055,North Carolina,Dare,10,15,7,39,94
36061,New York,New York,11,11,8,14,72
36107,New York,Tioga,12,8,5,138,432
8117,Colorado,Summit,13,36,21,22,47
33003,New Hampshire,Carroll,14,26,19,17,24
13143,Georgia,Haralson,15,7,4,648,739
54035,West Virginia,Jackson,16,10,9,282,117
48497,Texas,Wise,17,6,10,527,450
29213,Missouri,Taney,18,58,35,16,33
32005,Nevada,Douglas,19,64,20,43,116
24047,Maryland,Worcester,20,190,53,13,46
6079,California,San Luis Obispo,21,30,26,26,48
25001,Massachusetts,Barnstable,22,62,38,10,39
49043,Utah,Summit,23,68,36,5,53
48053,Texas,Burnet,24,14,233,131,14
4017,Arizona,Navajo,25,34,13,34,668
29187,Missouri,St. Francois,26,17,15,217,873
17105,Illinois,Livingston,27,13,14,1037,1018
6055,California,Napa,28,57,61,20,17
30031,Montana,Gallatin,29,37,31,47,57
38049,North Dakota,McHenry,30,20,18,1260,1245
47187,Tennessee,Williamson,31,32,27,56,173
21037,Kentucky,Campbell,32,83,48,9,91
29077,Missouri,Greene,33,21,22,171,130
5145,Arkansas,White,34,18,23,240,189
29071,Missouri,Franklin,35,16,54,432,122
30111,Montana,Yellowstone,36,19,50,245,23
12005,Florida,Bay,37,140,77,11,10
37021,North Carolina,Buncombe,38,53,37,25,84
36031,New York,Essex,39,154,69,8,22
47155,Tennessee,Sevier,40,146,40,45,223
5131,Arkansas,Sebastian,41,22,308,266,8
55117,Wisconsin,Sheboygan,42,51,41,44,34
45013,South Carolina,Beaufort,43,72,71,53,55
29165,Missouri,Platte,44,24,29,224,339
50023,Vermont,Washington,45,66,103,36,18
8014,Colorado,Broomfield,46,29,17,162,618
6097,California,Sonoma,47,52,97,23,25
36113,New York,Warren,48,238,95,12,101
37171,North Carolina,Surry,49,31,30,150,242
5007,Arkansas,Benton,50,41,59,65,63
12089,Florida,Nassau,51,27,28,369,342
34017,New Jersey,Hudson,52,90,135,28,80
6057,California,Nevada,53,101,57,21,140
8069,Colorado,Larimer,54,56,49,50,75
6017,California,El Dorado,55,132,91,24,37
55111,Wisconsin,Sauk,56,137,87,54,155
31001,Nebraska,Adams,57,23,24,1076,1151
47031,Tennessee,Coffee,58,183,166,60,58
41041,Oregon,Lincoln,59,181,144,19,19
20091,Kansas,Johnson,60,42,47,197,271
29043,Missouri,Christian,61,35,42,521,351
48221,Texas,Hood,62,33,55,483,200
50007,Vermont,Chittenden,63,61,67,101,64
5143,Arkansas,Washington,64,54,46,127,292
55109,Wisconsin,St. Croix,65,122,88,59,167
12095,Florida,Orange,66,130,66,61,148
16055,Idaho,Kootenai,67,50,68,209,133
40123,Oklahoma,Pontotoc,68,44,93,322,15
