FIPS,STATE,COUNTY
1001,Alabama,Autauga
1003,Alabama,Baldwin
1005,Alabama,Barbour
1007,Alabama,Bibb
1009,Alabama,Blount
1011,Alabama,Bullock
1013,Alabama,Butler
1015,Alabama,Calhoun
1017,Alabama,Chambers
1019,Alabama,Cherokee
1021,Alabama,Chilton
1023,Alabama,Choctaw
1025,Alabama,Clarke
1027,Alabama,Clay
1029,Alabama,Cleburne
1031,Alabama,Coffee
1033,Alabama,Colbert
1035,Alabama,Conecuh
1037,Alabama,Coosa
1039,Alabama,Covington
1041,Alabama,Crenshaw
1043,Alabama,Cullman
1045,Alabama,Dale
1047,Alabama,Dallas
1049,Alabama,DeKalb
1051,Alabama,Elmore
1053,Alabama,Escambia
1055,Alabama,Etowah
1057,Alabama,Fayette
1059,Alabama,Franklin
1061,Alabama,Geneva
1063,Alabama,Greene
1065,Alabama,Hale
1067,Alabama,Henry
1069,Alabama,Houston
1071,Alabama,Jackson
1073,Alabama,Jefferson
1075,Alabama,Lamar
1077,Alabama,Lauderdale
1079,Alabama,Lawrence
1081,Alabama,Lee
1083,Alabama,Limestone
1085,Alabama,Lowndes
1087,Alabama,Macon
1089,Alabama,Madison
1091,Alabama,Marengo
1093,Alabama,Marion
1095,Alabama,Marshall
1097,Alabama,Mobile
1099,Alabama,Monroe
1101,Alabama,Montgomery
1103,Alabama,Morgan
1105,Alabama,Perry
1107,Alabama,Pickens
1109,Alabama,Pike
1111,Alabama,Randolph
1113,Alabama,Russell
1115,Alabama,St. Clair
1117,Alabama,Shelby
1119,Alabama,Sumter
1121,Alabama,Talladega
1123,Alabama,Tallapoosa
1125,Alabama,Tuscaloosa
1127,Alabama,Walker
1129,Alabama,Washington
1131,Alabama,Wilcox
1133,Alabama,Winston
4001,Arizona,Apache
4003,Arizona,Cochise
4005,Arizona,Coconino
4007,Arizona,Gila
4009,Arizona,Graham
4011,Arizona,Greenlee
4012,Arizona,La Paz
4013,Arizona,Maricopa
4015,Arizona,Mohave
4017,Arizona,Navajo
4019,Arizona,Pima
4021,Arizona,Pinal
4023,Arizona,Santa Cruz
4025,Arizona,Yavapai
4027,Arizona,Yuma
5001,Arkansas,Arkansas
5003,Arkansas,Ashley
5005,Arkansas,Baxter
5007,Arkansas,Benton
5009,Arkansas,Boone
5011,Arkansas,Bradley
5013,Arkansas,Calhoun
5015,Arkansas,Carroll
5017,Arkansas,Chicot
5019,Arkansas,Clark
5021,Arkansas,Clay
5023,Arkansas,Cleburne
5025,Arkansas,Cleveland
5027,Arkansas,Columbia
5029,Arkansas,Conway
5031,Arkansas,Craighead
5033,Arkansas,Crawford
5035,Arkansas,Crittenden
5037,Arkansas,Cross
5039,Arkansas,Dallas
5041,Arkansas,Desha
5043,Arkansas,Drew
5045,Arkansas,Faulkner
5047,Arkansas,Franklin
5049,Arkansas,Fulton
5051,Arkansas,Garland
5053,Arkansas,Grant
5055,Arkansas,Greene
5057,Arkansas,Hempstead
5059,Arkansas,Hot Spring
5061,Arkansas,Howard
5063,Arkansas,Independence
5065,Arkansas,Izard
5067,Arkansas,Jackson
5069,Arkansas,Jefferson
5071,Arkansas,Johnson
5073,Arkansas,Lafayette
5075,Arkansas,Lawrence
5077,Arkansas,Lee
5079,Arkansas,Lincoln
5081,Arkansas,Little River
5083,Arkansas,Logan
5085,Arkansas,Lonoke
5087,Arkansas,Madison
5089,Arkansas,Marion
5091,Arkansas,Miller
5093,Arkansas,Mississippi
5095,Arkansas,Monroe
5097,Arkansas,Montgomery
5099,Arkansas,Nevada
5101,Arkansas,Newton
5103,Arkansas,Ouachita
5105,Arkansas,Perry
5107,Arkansas,Phillips
5109,Arkansas,Pike
5111,Arkansas,Poinsett
5113,Arkansas,Polk
5115,Arkansas,Pope
5117,Arkansas,Prairie
5119,Arkansas,Pulaski
5121,Arkansas,Randolph
5123,Arkansas,St. Francis
5125,Arkansas,Saline
5127,Arkansas,Scott
5129,Arkansas,Searcy
5131,Arkansas,Sebastian
5133,Arkansas,Sevier
5135,Arkansas,Sharp
5137,Arkansas,Stone
5139,Arkansas,Union
5141,Arkansas,Van Buren
5143,Arkansas,Washington
5145,Arkansas,White
5147,Arkansas,Woodruff
5149,Arkansas,Yell
6001,California,Alameda
6003,California,Alpine
6005,California,Amador
6007,California,Butte
6009,California,Calaveras
6011,California,Colusa
6013,California,Contra Costa
6015,California,Del Norte
6017,California,El Dorado
6019,California,Fresno
6021,California,Glenn
6023,California,Humboldt
6025,California,Imperial
6027,California,Inyo
6029,California,Kern
6031,California,Kings
6033,California,Lake
6035,California,Lassen
6037,California,Los Angeles
6039,California,Madera
6041,California,Marin
6043,California,Mariposa
6045,California,Mendocino
6047,California,Merced
6049,California,Modoc
6051,California,Mono
6053,California,Monterey
6055,California,Napa
6057,California,Nevada
6059,California,Orange
6061,California,Placer
6063,California,Plumas
6065,California,Riverside
6067,California,Sacramento
6069,California,San Benito
6071,California,San Bernardino
6073,California,San Diego
6075,California,San Francisco
6077,California,San Joaquin
6079,California,San Luis Obispo
6081,California,San Mateo
6083,California,Santa Barbara
6085,California,Santa Clara
6087,California,Santa Cruz
6089,California,Shasta
6091,California,Sierra
6093,California,Siskiyou
6095,California,Solano
6097,California,Sonoma
6099,California,Stanislaus
6101,California,Sutter
6103,California,Tehama
6105,California,Trinity
6107,California,Tulare
6109,California,Tuolumne
6111,California,Ventura
6113,California,Yolo
6115,California,Yuba
8001,Colorado,Adams
8003,Colorado,Alamosa
8005,Colorado,Arapahoe
8007,Colorado,Archuleta
8009,Colorado,Baca
8011,Colorado,Bent
8013,Colorado,Boulder
8014,Colorado,Broomfield
8015,Colorado,Chaffee
8017,Colorado,Cheyenne
8019,Colorado,Clear Creek
8021,Colorado,Conejos
8023,Colorado,Costilla
8025,Colorado,Crowley
8027,Colorado,Custer
8029,Colorado,Delta
8031,Colorado,Denver
8033,Colorado,Dolores
8035,Colorado,Douglas
8037,Colorado,Eagle
8039,Colorado,Elbert
8041,Colorado,El Paso
8043,Colorado,Fremont
8045,Colorado,Garfield
8047,Colorado,Gilpin
8049,Colorado,Grand
8051,Colorado,Gunnison
8053,Colorado,Hinsdale
8055,Colorado,Huerfano
8057,Colorado,Jackson
8059,Colorado,Jefferson
8061,Colorado,Kiowa
8063,Colorado,Kit Carson
8065,Colorado,Lake
8067,Colorado,La Plata
8069,Colorado,Larimer
8071,Colorado,Las Animas
8073,Colorado,Lincoln
8075,Colorado,Logan
8077,Colorado,Mesa
8079,Colorado,Mineral
8081,Colorado,Moffat
8083,Colorado,Montezuma
8085,Colorado,Montrose
8087,Colorado,Morgan
8089,Colorado,Otero
8091,Colorado,Ouray
8093,Colorado,Park
8095,Colorado,Phillips
8097,Colorado,Pitkin
8099,Colorado,Prowers
8101,Colorado,Pueblo
8103,Colorado,Rio Blanco
8105,Colorado,Rio Grande
8107,Colorado,Routt
8109,Colorado,Saguache
8111,Colorado,San Juan
8113,Colorado,San Miguel
8115,Colorado,Sedgwick
8117,Colorado,Summit
8119,Colorado,Teller
8121,Colorado,Washington
8123,Colorado,Weld
8125,Colorado,Yuma
9001,Connecticut,Fairfield
9003,Connecticut,Hartford
9005,Connecticut,Litchfield
9007,Connecticut,Middlesex
9009,Connecticut,New Haven
9011,Connecticut,New London
9013,Connecticut,Tolland
9015,Connecticut,Windham
10001,Delaware,Kent
10003,Delaware,New Castle
10005,Delaware,Sussex
11001,District Of Columbia,District of Columbia
12001,Florida,Alachua
12003,Florida,Baker
12005,Florida,Bay
12007,Florida,Bradford
12009,Florida,Brevard
12011,Florida,Broward
12013,Florida,Calhoun
12015,Florida,Charlotte
12017,Florida,Citrus
12019,Florida,Clay
12021,Florida,Collier
12023,Florida,Columbia
12027,Florida,DeSoto
12029,Florida,Dixie
12031,Florida,Duval
12033,Florida,Escambia
12035,Florida,Flagler
12037,Florida,Franklin
12039,Florida,Gadsden
12041,Florida,Gilchrist
12043,Florida,Glades
12045,Florida,Gulf
12047,Florida,Hamilton
12049,Florida,Hardee
12051,Florida,Hendry
12053,Florida,Hernando
12055,Florida,Highlands
12057,Florida,Hillsborough
12059,Florida,Holmes
12061,Florida,Indian River
12063,Florida,Jackson
12065,Florida,Jefferson
12067,Florida,Lafayette
12069,Florida,Lake
12071,Florida,Lee
12073,Florida,Leon
12075,Florida,Levy
12077,Florida,Liberty
12079,Florida,Madison
12081,Florida,Manatee
12083,Florida,Marion
12085,Florida,Martin
12086,Florida,Miami-Dade
12087,Florida,Monroe
12089,Florida,Nassau
12091,Florida,Okaloosa
12093,Florida,Okeechobee
12095,Florida,Orange
12097,Florida,Osceola
12099,Florida,Palm Beach
12101,Florida,Pasco
12103,Florida,Pinellas
12105,Florida,Polk
12107,Florida,Putnam
12109,Florida,St. Johns
12111,Florida,St. Lucie
12113,Florida,Santa Rosa
12115,Florida,Sarasota
12117,Florida,Seminole
12119,Florida,Sumter
12121,Florida,Suwannee
12123,Florida,Taylor
12125,Florida,Union
12127,Florida,Volusia
12129,Florida,Wakulla
12131,Florida,Walton
12133,Florida,Washington
13001,Georgia,Appling
13003,Georgia,Atkinson
13005,Georgia,Bacon
13007,Georgia,Baker
13009,Georgia,Baldwin
13011,Georgia,Banks
13013,Georgia,Barrow
13015,Georgia,Bartow
13017,Georgia,Ben Hill
13019,Georgia,Berrien
13021,Georgia,Bibb
13023,Georgia,Bleckley
13025,Georgia,Brantley
13027,Georgia,Brooks
13029,Georgia,Bryan
13031,Georgia,Bulloch
13033,Georgia,Burke
13035,Georgia,Butts
13037,Georgia,Calhoun
13039,Georgia,Camden
13043,Georgia,Candler
13045,Georgia,Carroll
13047,Georgia,Catoosa
13049,Georgia,Charlton
13051,Georgia,Chatham
13053,Georgia,Chattahoochee
13055,Georgia,Chattooga
13057,Georgia,Cherokee
13059,Georgia,Clarke
13061,Georgia,Clay
13063,Georgia,Clayton
13065,Georgia,Clinch
13067,Georgia,Cobb
13069,Georgia,Coffee
13071,Georgia,Colquitt
13073,Georgia,Columbia
13075,Georgia,Cook
13077,Georgia,Coweta
13079,Georgia,Crawford
13081,Georgia,Crisp
13083,Georgia,Dade
13085,Georgia,Dawson
13087,Georgia,Decatur
13089,Georgia,DeKalb
13091,Georgia,Dodge
13093,Georgia,Dooly
13095,Georgia,Dougherty
13097,Georgia,Douglas
13099,Georgia,Early
13101,Georgia,Echols
13103,Georgia,Effingham
13105,Georgia,Elbert
13107,Georgia,Emanuel
13109,Georgia,Evans
13111,Georgia,Fannin
13113,Georgia,Fayette
13115,Georgia,Floyd
13117,Georgia,Forsyth
13119,Georgia,Franklin
13121,Georgia,Fulton
13123,Georgia,Gilmer
13125,Georgia,Glascock
13127,Georgia,Glynn
13129,Georgia,Gordon
13131,Georgia,Grady
13133,Georgia,Greene
13135,Georgia,Gwinnett
13137,Georgia,Habersham
13139,Georgia,Hall
13141,Georgia,Hancock
13143,Georgia,Haralson
13145,Georgia,Harris
13147,Georgia,Hart
13149,Georgia,Heard
13151,Georgia,Henry
13153,Georgia,Houston
13155,Georgia,Irwin
13157,Georgia,Jackson
13159,Georgia,Jasper
13161,Georgia,Jeff Davis
13163,Georgia,Jefferson
13165,Georgia,Jenkins
13167,Georgia,Johnson
13169,Georgia,Jones
13171,Georgia,Lamar
13173,Georgia,Lanier
13175,Georgia,Laurens
13177,Georgia,Lee
13179,Georgia,Liberty
13181,Georgia,Lincoln
13183,Georgia,Long
13185,Georgia,Lowndes
13187,Georgia,Lumpkin
13189,Georgia,McDuffie
13191,Georgia,McIntosh
13193,Georgia,Macon
13195,Georgia,Madison
13197,Georgia,Marion
13199,Georgia,Meriwether
13201,Georgia,Miller
13205,Georgia,Mitchell
13207,Georgia,Monroe
13209,Georgia,Montgomery
13211,Georgia,Morgan
13213,Georgia,Murray
13215,Georgia,Muscogee
13217,Georgia,Newton
13219,Georgia,Oconee
13221,Georgia,Oglethorpe
13223,Georgia,Paulding
13225,Georgia,Peach
13227,Georgia,Pickens
13229,Georgia,Pierce
13231,Georgia,Pike
13233,Georgia,Polk
13235,Georgia,Pulaski
13237,Georgia,Putnam
13239,Georgia,Quitman
13241,Georgia,Rabun
13243,Georgia,Randolph
13245,Georgia,Richmond
13247,Georgia,Rockdale
13249,Georgia,Schley
13251,Georgia,Screven
13253,Georgia,Seminole
13255,Georgia,Spalding
13257,Georgia,Stephens
13259,Georgia,Stewart
13261,Georgia,Sumter
13263,Georgia,Talbot
13265,Georgia,Taliaferro
13267,Georgia,Tattnall
13269,Georgia,Taylor
13271,Georgia,Telfair
13273,Georgia,Terrell
13275,Georgia,Thomas
13277,Georgia,Tift
13279,Georgia,Toombs
13281,Georgia,Towns
13283,Georgia,Treutlen
13285,Georgia,Troup
13287,Georgia,Turner
13289,Georgia,Twiggs
13291,Georgia,Union
13293,Georgia,Upson
13295,Georgia,Walker
13297,Georgia,Walton
13299,Georgia,Ware
13301,Georgia,Warren
13303,Georgia,Washington
13305,Georgia,Wayne
13307,Georgia,Webster
13309,Georgia,Wheeler
13311,Georgia,White
13313,Georgia,Whitfield
13315,Georgia,Wilcox
13317,Georgia,Wilkes
13319,Georgia,Wilkinson
13321,Georgia,Worth
16001,Idaho,Ada
16003,Idaho,Adams
16005,Idaho,Bannock
16007,Idaho,Bear Lake
16009,Idaho,Benewah
16011,Idaho,Bingham
16013,Idaho,Blaine
16015,Idaho,Boise
16017,Idaho,Bonner
16019,Idaho,Bonneville
16021,Idaho,Boundary
16023,Idaho,Butte
16025,Idaho,Camas
16027,Idaho,Canyon
16029,Idaho,Caribou
16031,Idaho,Cassia
16033,Idaho,Clark
16035,Idaho,Clearwater
16037,Idaho,Custer
16039,Idaho,Elmore
16041,Idaho,Franklin
16043,Idaho,Fremont
16045,Idaho,Gem
16047,Idaho,Gooding
16049,Idaho,Idaho
16051,Idaho,Jefferson
16053,Idaho,Jerome
16055,Idaho,Kootenai
16057,Idaho,Latah
16059,Idaho,Lemhi
16061,Idaho,Lewis
16063,Idaho,Lincoln
16065,Idaho,Madison
16067,Idaho,Minidoka
16069,Idaho,Nez Perce
16071,Idaho,Oneida
16073,Idaho,Owyhee
16075,Idaho,Payette
16077,Idaho,Power
16079,Idaho,Shoshone
16081,Idaho,Teton
16083,Idaho,Twin Falls
16085,Idaho,Valley
16087,Idaho,Washington
17001,Illinois,Adams
17003,Illinois,Alexander
17005,Illinois,Bond
17007,Illinois,Boone
17009,Illinois,Brown
17011,Illinois,Bureau
17013,Illinois,Calhoun
17015,Illinois,Carroll
17017,Illinois,Cass
17019,Illinois,Champaign
17021,Illinois,Christian
17023,Illinois,Clark
17025,Illinois,Clay
17027,Illinois,Clinton
17029,Illinois,Coles
17031,Illinois,Cook
17033,Illinois,Crawford
17035,Illinois,Cumberland
17037,Illinois,DeKalb
17039,Illinois,De Witt
17041,Illinois,Douglas
17043,Illinois,DuPage
17045,Illinois,Edgar
17047,Illinois,Edwards
17049,Illinois,Effingham
17051,Illinois,Fayette
17053,Illinois,Ford
17055,Illinois,Franklin
17057,Illinois,Fulton
17059,Illinois,Gallatin
17061,Illinois,Greene
17063,Illinois,Grundy
17065,Illinois,Hamilton
17067,Illinois,Hancock
17069,Illinois,Hardin
17071,Illinois,Henderson
